,0
h0_n_d_m_t0.5_10_1,1.9659512213642313e-28
k_t0.1_11_3,2.365922274874397e-28
self_10_10,3.108862286218898e-28
b0_t0.5_10_1,3.138325355199612e-28
prev_11_11,3.2755712255802137e-28
h0_n_d_m_t0.75_11_9,3.522052906730461e-28
m_t0.25_11_4,3.8783501939637994e-28
b1_t0.1_11_7,4.0008382729118294e-28
c_t0.05_10_1,4.076206571889058e-28
e_t0.1_10_11,4.138417733745377e-28
e_t0.1_11_5,4.321094676535142e-28
h1_n_b_m_t0.25_11_11,4.762547169008752e-28
h1_nb_11_11,4.762547169008752e-28
sep_10_10,5.186590526886666e-28
b1_t0.1_11_5,5.262801893759634e-28
b1_t0.1_10_6,5.624936305917542e-28
c_t0.1_10_6,6.06849835929877e-28
v_t0.75_11_6,6.106036164353181e-28
m_t0.1_11_5,6.579816714237186e-28
v_t0.025_11_1,8.037086190248518e-28
h1_t_b_10_2,8.247355819747959e-28
h1_n_b_m_t0.25_10_0,1.0323443553259027e-27
h1_nb_10_0,1.0323443553259027e-27
b0_t0.25_11_9,1.0994799094580327e-27
h1_n_b_l_t0.95_9_11,1.1148131327661175e-27
h1_n_b_m_t0.25_11_6,1.2129056925831224e-27
h1_nb_11_6,1.2129056925831224e-27
h1_n_b_l_t0.95_11_6,1.2258019007563703e-27
h0_s_11_5,1.2938041774611698e-27
h1_s_11_11,1.2949470167688284e-27
h1_t_b_11_8,1.3661541087922027e-27
k_t0.05_11_10,1.3817305128731689e-27
h1_s_10_0,1.3915475406527285e-27
b0_t0.75_10_1,1.394735125914195e-27
b1_t0.1_9_11,1.4595617443634444e-27
k_t0.1_10_1,1.4688631713950828e-27
b1_t0.05_10_10,1.4793022498490404e-27
sep_11_11,1.5031247581159955e-27
m_t0.5_10_10,1.535247583273693e-27
h1_v_11_10,1.75664249939449e-27
v_t0.05_10_1,1.8269615417106463e-27
h1_n_b_l_t0.95_11_11,1.996489531684902e-27
h1_s_11_9,2.0611311876087955e-27
c_t0.025_10_1,2.2020826398608915e-27
v_t0.1_10_10,2.3336652813553395e-27
next_11_1,2.3991065026834088e-27
e_t0.05_10_6,2.5287688401979006e-27
m_t0.5_9_5,2.697884536459915e-27
v_t0.05_10_10,2.7492372019581467e-27
v_t0.75_10_10,2.896234792402859e-27
h0_t_d_10_1,3.021247178541782e-27
b1_t0.05_11_2,3.074850994213959e-27
c_t0.1_10_10,3.156187652310717e-27
m_t0.05_11_1,3.2391650449386914e-27
v_t0.025_10_1,3.256879897785985e-27
h1_n_b_m_t0.25_9_11,3.3600340200355825e-27
h1_nb_9_11,3.3600340200355825e-27
sep_10_6,3.52159092838452e-27
sep_10_3,3.551146941444856e-27
h1_n_b_l_t0.95_10_0,3.8514905955929435e-27
h1_s_11_7,4.7070415234367355e-27
e_t0.05_10_1,4.969793283392344e-27
h1_v_11_11,5.78707828901083e-27
v_t0.05_11_1,6.815278710946662e-27
sep_11_2,7.283109305690728e-27
v_t0.75_11_1,7.306739143755597e-27
h0_t_d_11_5,7.520983415593699e-27
h1_e_11_11,8.166730935398143e-27
prev_11_4,8.554659742397648e-27
b1_t0.1_11_2,8.786671987037277e-27
e_t0.025_10_4,9.433821488389764e-27
m_t0.05_11_5,9.725061935577827e-27
sep_10_8,1.0064954731290246e-26
c_t0.25_10_11,1.1940237497874835e-26
b1_t0.025_10_4,1.303309038012139e-26
e_t0.1_10_1,1.3423707889691892e-26
v_t0.05_11_10,1.3551868192390978e-26
e_t0.05_10_10,1.4307349850002697e-26
c_t0.025_11_4,1.618477387943865e-26
h1_n_b_m_t0.25_11_8,1.634420898696399e-26
h1_n_b_l_t0.95_11_8,1.634420898696399e-26
h1_nb_11_8,1.634420898696399e-26
v_t0.75_11_3,1.7342302639614577e-26
prev_11_10,1.734975952121321e-26
m_t0.025_10_11,1.7515980797742367e-26
m_t0.25_9_5,1.752574390659934e-26
h0_t_d_10_6,1.7785310682728717e-26
self_10_4,1.874872700584733e-26
b1_t0.025_10_8,1.8813127262035098e-26
b0_t0.25_11_6,1.907799021229919e-26
h1_s_9_11,1.9832477683043912e-26
b0_t0.75_9_11,2.1571270866633565e-26
c_t0.025_10_4,2.3798730446993958e-26
b0_t0.5_11_8,2.7294844027514706e-26
h1_t_b_11_7,2.8174156999139903e-26
c_t0.05_10_6,2.9050891863677905e-26
m_t0.05_10_8,2.958432525390008e-26
h0_n_d_m_t0.75_11_6,3.1667621933287237e-26
h1_t_b_10_0,3.5692177903549465e-26
b0_t0.5_10_6,3.7311204419157694e-26
h1_t_b_10_4,3.742488237327584e-26
h0_s_9_11,3.8328631835307816e-26
h0_n_d_m_t0.5_10_6,4.05474400379968e-26
h1_s_11_6,4.7939500471565035e-26
self_11_6,4.8155143852095445e-26
h0_n_d_m_t0.5_11_8,5.090678130814871e-26
v_t0.05_11_3,5.238113054887225e-26
m_t0.25_11_6,5.974961568682436e-26
c_t0.05_11_6,6.100698157007386e-26
e_t0.025_10_6,6.384280518088573e-26
k_t0.1_11_2,6.493459679477412e-26
c_t0.25_10_7,9.465685157944093e-26
v_t0.025_10_10,1.0277340517816728e-25
m_t0.75_11_9,1.0908881639704753e-25
h1_n_b_m_t0.25_10_4,1.091553969803877e-25
h1_nb_10_4,1.091553969803877e-25
c_t0.1_10_7,1.0993961960950143e-25
h1_n_b_l_t0.95_10_4,1.1652435754170831e-25
e_t0.1_11_7,1.3055716652637869e-25
b0_t0.5_10_9,1.3907381185406755e-25
h0_n_d_m_t0.5_10_9,1.493278445335791e-25
e_t0.1_10_10,1.494702186431502e-25
b1_t0.1_10_9,1.6090968071981733e-25
v_t0.05_10_8,1.8983635787320037e-25
v_t0.75_10_1,2.0177694508418276e-25
next_9_5,2.1521510299889237e-25
h1_s_11_8,2.1871868088667953e-25
h1_s_10_4,2.2058844590738212e-25
b1_t0.025_11_5,2.3597960398783265e-25
b1_t0.025_10_6,2.452868565588512e-25
h1_n_b_l_t0.95_9_6,2.93238666164705e-25
b0_t0.5_10_4,3.0343221283219797e-25
m_t0.1_11_2,3.803067065645774e-25
b1_t0.1_11_9,3.8352388606632276e-25
b1_t0.05_9_11,3.8501438375114002e-25
h0_n_d_m_t0.5_10_4,3.8533646136214813e-25
c_t0.05_10_4,3.9666895090956997e-25
m_t0.25_10_10,4.0099437797580035e-25
v_t0.5_9_11,4.206668582186449e-25
h0_s_10_0,5.481122986859077e-25
m_t0.25_11_2,5.695796934365001e-25
prev_9_1,5.747303224042254e-25
b1_t0.05_10_8,5.839814250890392e-25
b0_t0.75_11_5,6.113321805102227e-25
v_t0.025_11_5,6.9039044518002425e-25
v_t0.05_10_6,7.485911367541416e-25
prev_11_3,7.716570139580917e-25
e_t0.025_10_1,8.087518016264583e-25
m_t0.25_10_6,8.411874663360294e-25
self_10_1,8.464558234697393e-25
m_t0.1_10_4,8.91154005426148e-25
b0_t0.75_10_2,9.029108547285634e-25
self_11_7,9.098847070584136e-25
e_t0.05_10_0,9.284945726698985e-25
next_10_10,9.539300725141201e-25
e_t0.025_10_10,1.149983995168479e-24
c_t0.05_10_2,1.1686407935852493e-24
h0_s_10_2,1.2191017728017663e-24
b1_t0.025_10_1,1.2277609255628403e-24
e_t0.025_11_5,1.2342314340488995e-24
next_11_11,1.3313361385648194e-24
b0_t0.5_11_9,1.3852599192978154e-24
h0_n_d_m_t0.5_11_9,1.402486765931511e-24
c_t0.025_10_8,1.456864735608697e-24
e_t0.025_10_0,1.5263285310397598e-24
h1_v_11_9,1.5778496364279613e-24
m_t0.1_10_6,1.603331802950113e-24
c_t0.025_10_0,1.6625469874626824e-24
self_11_5,1.6761514245924613e-24
v_t0.75_11_5,1.837960847998289e-24
h1_e_11_4,2.087814916692808e-24
k_t0.1_11_8,2.150266617929707e-24
m_t0.5_10_7,2.2026011649471207e-24
h1_e_9_11,2.4487792073455855e-24
e_t0.1_10_6,2.453353914802289e-24
b1_t0.05_10_2,2.6497878355831116e-24
e_t0.05_10_2,2.684769717560856e-24
sep_9_8,2.9689333429898273e-24
b1_t0.05_10_0,3.0535683888441876e-24
m_t0.5_10_11,3.2411036768962514e-24
h0_n_d_m_t0.5_11_2,3.273801198699344e-24
c_t0.25_10_10,3.6579397330224485e-24
b0_t0.5_11_2,4.098053875380268e-24
v_t0.1_10_1,4.199332126719472e-24
e_t0.05_9_11,4.258370521832588e-24
m_t0.025_11_4,4.550630660135143e-24
v_t0.75_10_4,4.712953494703629e-24
e_t0.025_10_8,4.74428751707336e-24
self_10_9,5.555842610532129e-24
b1_t0.025_10_0,6.116849182190215e-24
v_t0.025_10_6,6.605224219798015e-24
b1_t0.1_10_2,7.334803939622544e-24
sep_10_0,7.857319308709151e-24
b1_t0.025_10_10,7.922443170457141e-24
k_t0.05_11_2,8.403566693012112e-24
sep_9_11,8.657181163203501e-24
m_t0.025_10_8,8.995074723854671e-24
b0_t0.25_10_6,9.511811822709085e-24
h0_n_d_m_t0.75_10_6,9.511811822709085e-24
e_t0.1_10_9,9.856674596172633e-24
b1_t0.1_9_5,9.898151116773797e-24
h0_s_10_9,1.0169629751534277e-23
h1_n_b_m_t0.25_9_1,1.0287549106228682e-23
h1_nb_9_1,1.0287549106228682e-23
e_t0.1_11_8,1.2299569330976982e-23
m_t0.05_10_4,1.2343478425532964e-23
e_t0.1_9_11,1.3933531824970506e-23
k_t0.1_10_7,1.4026574488041746e-23
k_t0.1_11_11,1.411389578488752e-23
sep_11_1,1.5219561888512292e-23
v_t0.1_10_4,1.548212721315613e-23
k_t0.05_11_11,1.5738616727031437e-23
v_t0.05_10_4,1.6355037871231087e-23
h1_v_11_7,1.8529302905390634e-23
h1_n_b_m_t0.25_9_6,1.996087698564107e-23
h1_nb_9_6,1.996087698564107e-23
c_t0.1_10_1,2.055300231675403e-23
v_t0.75_10_6,2.315337197281386e-23
c_t0.05_10_9,2.3949073493012688e-23
b0_t0.75_10_0,2.5180604565796744e-23
m_t0.1_10_1,2.607504451175977e-23
h0_n_d_m_t0.5_10_2,3.109773289705776e-23
b0_t0.5_10_2,3.155546693260083e-23
k_t0.025_10_8,3.187629261914385e-23
c_t0.025_9_11,3.2727648880481757e-23
m_t0.025_11_6,3.2892291214096125e-23
prev_11_7,4.891300979973828e-23
k_t0.1_11_4,4.993927908375404e-23
v_t0.5_10_1,5.492880312174878e-23
k_t0.05_11_3,5.637840212821724e-23
