feature,p_value
v_t0.5_7_11,5.0220395428782685e-05
h1_nb_10_2,5.083535877389887e-05
h1_n_b_m_t0.25_10_2,5.083535877389887e-05
v_t0.25_6_11,5.32858156448423e-05
v_t0.025_8_10,5.386043908819744e-05
e_t0.75_8_6,5.4200746729050606e-05
h1_v_9_1,5.489183032622681e-05
h1_s_8_2,5.557346639900298e-05
v_t0.025_6_0,5.721582457602536e-05
h1_n_b_l_t0.95_10_2,5.765017885847486e-05
h0_t_d_8_10,5.81495265677557e-05
next_8_2,5.864187019588548e-05
v_t0.25_10_0,5.867129820324153e-05
h1_n_b_l_t0.95_9_9,6.20492336048331e-05
h0_n_d_m_t0.5_7_11,6.252006548864416e-05
next_8_10,6.527003056267798e-05
b1_t0.025_10_7,6.645546330939371e-05
next_8_8,6.670993972634119e-05
h0_t_d_11_9,6.729120035206872e-05
prev_11_5,7.022905514852783e-05
h1_e_8_1,7.144592587223712e-05
v_t0.1_6_0,7.148092279986488e-05
v_t0.05_11_2,7.23368556393837e-05
v_t0.5_5_1,7.523073510248733e-05
h1_n_b_m_t0.25_6_1,7.528559098619112e-05
h1_nb_6_1,7.528559098619112e-05
h1_e_9_2,7.563964940230648e-05
v_t0.05_7_9,7.577824714454796e-05
v_t0.025_7_3,7.621268416963573e-05
h0_n_d_m_t0.5_10_3,7.719202476009633e-05
b0_t0.5_10_3,7.856532727624306e-05
h0_n_d_l_t0.25_8_6,7.901472986228819e-05
c_t0.1_7_2,7.915399928564239e-05
h1_n_b_l_t0.95_10_11,7.971239349507576e-05
v_t0.1_7_3,8.003739576891801e-05
b0_t0.25_9_7,8.2316799391527e-05
v_t0.5_11_3,8.243321695953976e-05
h1_n_b_l_t0.95_6_1,8.29298787079986e-05
b1_t0.25_8_9,8.431405306467102e-05
v_t0.1_6_4,8.6311668383966e-05
v_t0.05_9_5,8.636017107794743e-05
beginning_7_3,8.663919291594671e-05
prev_8_9,8.682226926222951e-05
e_t0.5_10_0,8.945748191599894e-05
c_t0.5_10_0,9.031260774616895e-05
h0_t_d_10_3,9.152498112760864e-05
v_t0.75_9_7,9.668267593016418e-05
v_t0.25_7_3,9.776136595505965e-05
h0_n_d_m_t0.75_9_7,0.0001019304670352
c_t0.1_8_2,0.0001021196875227
c_t0.1_8_1,0.0001025338298709
h1_n_b_l_t0.70_6_1,0.00010308867705
beginning_6_11,0.0001036070906015
v_t0.025_8_0,0.0001037959715228
b1_t0.25_6_11,0.0001047942453505
c_t0.025_7_11,0.0001078819563739
e_t0.75_9_3,0.0001128690262994
h0_n_d_l_t0.25_9_3,0.0001128690262994
v_t0.5_9_5,0.0001155406226678
b0_t0.5_7_11,0.0001158206833602
h1_e_10_10,0.0001213670516471
c_t0.25_9_9,0.0001218164500602
v_t0.1_7_10,0.0001219649570858
h0_n_d_m_t0.75_10_3,0.0001220022500561
v_t0.5_6_0,0.000123101756779
h0_n_d_m_t0.75_10_4,0.0001273109768958
b0_t0.25_10_4,0.0001289154902568
h1_v_10_10,0.0001290103716586
h1_n_b_l_t0.95_8_2,0.0001303518486824
h1_n_b_m_t0.25_8_2,0.0001307674502923
h1_nb_8_2,0.0001307674502923
b0_t0.25_10_0,0.0001342916852581
v_t0.75_8_9,0.0001382241563141
b0_t0.75_8_2,0.0001382749379664
b0_t0.25_10_3,0.0001394706283315
next_10_2,0.0001405484159496
v_t0.025_6_1,0.0001407507311252
h0_t_d_7_3,0.0001423056869215
v_t0.1_10_6,0.00014279039866
b1_t0.25_8_2,0.0001441297822511
h0_n_d_m_t0.75_10_0,0.0001479512674977
next_10_6,0.0001507273147008
beginning_10_0,0.0001509845355139
h1_n_b_m_t0.25_8_11,0.0001515867032935
h1_nb_8_11,0.0001515867032935
prev_8_2,0.0001522213935613
h1_n_b_l_t0.95_8_11,0.0001525784921407
b1_t0.1_9_10,0.0001531999443362
v_t0.75_6_0,0.0001540544299143
c_t0.05_10_0,0.0001558700768826
h1_n_b_l_t0.70_8_10,0.0001559649149449
c_t0.025_6_6,0.0001574899122087
h1_s_8_11,0.0001607181352616
prev_6_11,0.0001629506831675
h1_n_b_l_t0.70_7_1,0.0001654085474139
prev_9_11,0.0001732441284587
e_t0.75_8_10,0.0001743212450246
v_t0.025_5_10,0.0001766915050224
v_t0.25_5_5,0.0001781943002289
h0_n_d_l_t0.25_8_10,0.000179456086605
self_10_7,0.0001816135269121
h0_n_d_l_t0.25_9_7,0.0001850881458353
e_t0.75_9_7,0.0001853666111986
c_t0.1_9_2,0.0001896861058002
c_t0.05_9_2,0.0001936271091783
v_t0.05_7_3,0.0001958030689726
v_t0.5_7_1,0.0002047993975828
prev_11_7,0.0002080567731362
v_t0.1_10_7,0.0002165415524745
b0_t0.25_8_2,0.0002230373810473
v_t0.75_9_9,0.0002261321783189
e_t0.75_9_11,0.0002267790127866
v_t0.1_5_1,0.0002479802166746
h1_t_b_6_1,0.0002612305306546
h0_n_d_l_t0.25_9_11,0.0002622519483702
b1_t0.1_7_4,0.0002641275031259
s_t0.025_9_5,0.0002685918569211
v_t0.025_6_11,0.0002720597980827
b1_t0.025_10_10,0.0002868451484708
h0_n_d_l_t0.25_7_9,0.0003043613700792
h1_n_b_l_t0.70_7_10,0.0003053604866715
e_t0.75_7_9,0.0003111007236564
h0_t_d_7_9,0.0003219877758919
beginning_10_4,0.0003284412811327
h1_t_b_8_11,0.0003443550735181
b1_t0.025_11_0,0.0003457061747147
prev_11_8,0.0003494891839578
h1_v_5_5,0.0003501040356694
h1_t_b_10_2,0.0003505052121288
c_t0.05_10_4,0.0003506879692036
v_t0.75_9_3,0.0003558393514237
beginning_10_10,0.0003688751088279
c_t0.05_7_11,0.0003728437306294
next_11_5,0.0003779852348077
v_t0.25_5_1,0.0003990719386168
prev_7_2,0.0004063382223494
h1_v_8_11,0.0004235354627617
h1_e_8_11,0.0004378879216657
c_t0.1_10_4,0.0004458130460535
v_t0.75_9_5,0.0004552734635007
c_t0.025_10_0,0.0004619896124295
h1_v_10_2,0.000476854476847
c_t0.1_9_3,0.0004780915387538
c_t0.05_9_7,0.0004831695135169
v_t0.05_6_7,0.000484558997274
h1_t_b_8_2,0.0005040165671603
c_t0.1_10_11,0.0005040337811567
b1_t0.05_10_7,0.0005106402700261
h1_e_10_2,0.0005154585882842
b1_t0.5_10_0,0.0005211476659005
v_t0.25_7_11,0.0005443274395311
v_t0.05_6_11,0.000545159746472
c_t0.1_7_10,0.0005541616144293
c_t0.1_9_10,0.0005557231393502
h0_n_d_m_t0.75_8_2,0.0005686288883382
next_8_7,0.0005899389423592
h0_s_8_2,0.0006002092215671
b0_t0.5_7_1,0.0006179921846608
v_t0.025_11_10,0.0006333782414102
b1_t0.1_9_7,0.0006357082641622
v_t0.05_8_0,0.0006478115694392
h1_e_9_4,0.0006771528992853
c_t0.05_10_3,0.0006845555975915
c_t0.025_5_1,0.0007025231046608
next_7_2,0.0007127189413242
